"rank","id","name","sponsor","category","url","amount","deadline","method","status","score","ai_policy","sensitive_tags","eligibility","materials","match_reasons","risks","next_action"
"19","cogic-charities","COGIC Charities Scholarships","Church of God in Christ Charities","Faith / Community Service","https://www.cogic.org/cogiccharities/","Varies","verify_current_cycle","online","prospect","71","unknown","religion","Faith/community scholarships; current instructions mention transcript upload and evaluation on leadership, community involvement, and academics.","Online application, transcript, essay, leadership/community service evidence.","Nine years of church service|Youth leadership and deacon/Sunday school service|Community leadership","Religious affiliation must be confirmed|Current denomination/member eligibility must be verified","Verify eligibility with Faith Full Gospel Baptist Church connection before applying."
"20","aace","AACE International Scholarships","AACE International Education Board","Engineering Management / Cost Engineering","https://web.aacei.org/resources/career-mentoring-center/scholarships","Varies","annual","online","prospect","70","unknown","membership_possible","Students in engineering, construction management, cost engineering, project management, business, and related fields depending on award.","Online application, transcript, resume, recommendation, essay.","Engineering management and operations fit|Project/cost/data systems background|Graduate leadership profile","Current deadline and degree eligibility must be verified","Verify 2026-2027 application window and graduate eligibility."
"21","careeronestop","CareerOneStop Scholarship Finder","U.S. Department of Labor / CareerOneStop","Search Source","https://www.careeronestop.org/Toolkit/Training/find-scholarships.aspx","Varies","varies","search","verified","68","not_applicable","","Federal-sponsored searchable database of scholarships, fellowships, grants, and other aid opportunities.","Use filters for graduate degree, U.S. study, engineering, computer science, Louisiana, Black/African American, faith/service, and creative fields.","Legitimacy-oriented search source|Useful for reaching 300 prospects|Recommended-style database source","Every listing still requires current sponsor verification","Run filtered searches and import official sponsor links."
"22","project-yellow-light","Project Yellow Light Video Scholarship","Project Yellow Light","Creative / Film","https://projectyellowlight.com/","Varies","annual_spring","online","monitor_next_cycle","68","unknown","","Students create a video, billboard, or radio PSA to discourage distracted driving.","Original creative submission, student verification, online form.","Filmmaking portfolio|Short-form video experience|Public-service message fit","Spring deadline may have passed|Creative work must be original","Monitor next cycle and prepare original film concept."
"23","suno-scholarships","SUNO Scholarships","Southern University at New Orleans","SUNO / Alumni","https://www.suno.edu/page/scholarships-home","Varies","varies","internal","prospect","68","unknown","hbcu","SUNO scholarship programs and awards; many are for current students and tied to credit hours.","SUNO scholarship application, transcript, enrollment information.","SUNO B.S. background|Campus leadership|Potential alumni/internal leads","May not fund current UNO graduate study|Current student eligibility may not fit","Ask SUNO financial aid/alumni office for alumni graduate scholarship leads."
"24","acm-sighpc","ACM SIGHPC Computational and Data Science Fellowships","ACM SIGHPC","Computer Science / Data","https://www.sighpc.org/for-our-community/fellowships","Fellowship varies","annual","online","prospect","66","unknown","race_ethnicity_possible|gender_possible","Graduate students pursuing computational and data science with diversity and inclusion goals depending on current cycle.","Research statement, transcript, references, CV/resume.","CS/data systems focus|Diversity and leadership story|Research/career growth potential","May require research-intensive program|Sensitive categories may apply","Verify if current cycle is open and whether master's students qualify."
"25","agc-grad","AGC Education and Research Foundation Graduate Scholarship","Associated General Contractors of America","Construction / Engineering Management","https://www.agc.org/learn/education-and-research-foundation/scholarship-program","$3,750 annual / up to $7,500 typical","annual","online","prospect","65","unknown","","Graduate students in construction management or construction engineering for the relevant academic term.","Online application, transcript, recommendations, construction/career statement.","Engineering management adjacent|Operations and systems experience|Leadership profile","Construction-specific fit must be proven","Apply only if coursework/career goals can truthfully connect to construction management."
"26","nabj","NABJ Scholarships","National Association of Black Journalists","Journalism / Black Student","https://nabjonline.org/student-services/scholarships/","Varies","annual","online","prospect","62","unknown","race_ethnicity|membership_possible","Student journalists and media students; eligibility varies by award.","Application, transcript, resume, work samples, essays, recommendations.","Editor-in-Chief of The SUNO Observer|Digital publishing and audience analytics|Black student/media profile may fit after confirmation","Current field is CS/engineering, not journalism|Sensitive identity and membership may be required","Use only for awards accepting multidisciplinary media/technology students."
"27","frame-my-future","Frame My Future Scholarship Contest","Church Hill Classics","Creative / General","https://www.diplomaframe.com/contests/frame-my-future-scholarship.aspx","Varies","annual","online","prospect","59","unknown","","Students submit creative work showing future goals; rules vary by current contest.","Creative entry, short description, student details.","Creative technologist brand|Film/game/portfolio assets|Career-goal story","Must verify current cycle and AI/media rules","Use only if open and original creative entry is allowed."
"28","spj-foundation","SPJ Foundation Scholarships","Society of Professional Journalists Foundation","Journalism","https://www.spj.org/a-scholarships.asp","Varies","annual","online","prospect","55","unknown","","Journalism students and student journalists; award-specific rules vary.","Application, transcript, resume, clips/work samples, essays.","SUNO Observer leadership|Digital publishing experience","May require journalism major or career intent","Use only if award accepts media leadership outside journalism major."
"29","hbcu-endowment-grad","HBCU Endowment Fund Graduate School Scholarship","HBCU Endowment Fund","HBCU / Graduate","https://hbcuendowmentfund.org/scholarships/graduate","Varies","2026-04-01","online","monitor_next_cycle","54","unknown","hbcu|financial_need","Masters and doctoral students at HBCUs with strong academics, research, financial need, and service commitment.","Online application, research plan, personal statement, financial need information, recommendations.","HBCU/SUNO background|3.5+ preferred GPA|Service and leadership fit","2026 deadline passed|Current graduate institution may not be HBCU","Monitor 2027 cycle or use as essay model."
"30","eesf","Environmental Engineering and Science Foundation Scholarships","Environmental Engineering and Science Foundation","Environmental Engineering","https://www.eesfoundation.org/scholarship/","Varies","verify_current_cycle","online","prospect","52","unknown","race_ethnicity_possible","Students accepted to or enrolled in accredited graduate programs in environmental engineering/science or related fields; diversity scholarships also exist.","Application, transcript, essays, recommendations.","Engineering graduate path|Data systems can support environmental analytics if career goal fits","Program may not be environmental|Sensitive sub-awards require confirmation","Use only if coursework/research has an environmental systems angle."
"31","sme-education","SME Education Foundation Scholarships","SME Education Foundation","Manufacturing / Engineering","https://www.smeef.org/sme-education-foundation-scholarships/","Varies","annual","online","prospect","52","unknown","","Students pursuing manufacturing engineering, technology, or closely related fields.","Online application, transcript, resume, essays, recommendations.","Engineering management and operations fit if manufacturing systems are a career goal","May not fit CS/EM without manufacturing angle","Use only if career statement includes manufacturing systems/automation."
"32","scholarshipamerica","Scholarship America Hub","Scholarship America","Search Source","https://scholarshipamerica.org/students/browse-scholarships/","Varies","varies","portal","prospect","50","unknown","financial_need_possible","Scholarship America-administered awards; individual eligibility varies.","Portal profile, essays, transcript, financial need documents if required.","Legitimate administrator|Good for national scholarship discovery","Must filter for graduate and current open awards","Search for STEM, technology, Louisiana, and graduate awards."
"33","tau-beta-pi","Tau Beta Pi Fellowships","Tau Beta Pi Engineering Honor Society","Engineering Honor Society","https://www.tbp.org/scholarships.cfm","Varies","annual","online","prospect","46","unknown","membership","Tau Beta Pi members pursuing graduate study in engineering or related fields.","Membership, application, transcript, recommendations, essays.","Engineering graduate profile","Requires Tau Beta Pi membership; not confirmed","Exclude unless membership is confirmed."
"34","dfi-grl","DFI Educational Trust Goble Rausche Likins Scholarship","DFI Educational Trust","Engineering / Computer Science","https://trust.dfi.org/scholarships/goble-rausche-likins/","$5,000","2026-05-15","online","monitor_next_cycle","44","unknown","","Full-time undergraduate or graduate civil engineering, electrical engineering, or computer science students at accredited U.S. schools with civil-engineering application work experience.","Online application, official transcript, resume, recommendation, employment/internship evidence.","Computer science graduate fit|Systems/data work could apply if civil-engineering context exists","2026 deadline passed|Civil-engineering application experience may be missing","Monitor next cycle only if civil infrastructure/data work can be documented."
"35","bold-org-source","Bold.org Scholarship Search","Bold.org","Search Source","https://bold.org/scholarships/","Varies","varies","portal","prospect","40","unknown","platform_profile","Scholarship platform; individual award eligibility varies.","Portal profile and scholarship-specific essays.","Can fill broad prospect count|May include niche graduate/STEM/film awards","Quality varies; avoid low-signal no-essay leads that only harvest data","Use only for high-fit, essay-based awards with clear sponsor and no fees."
"36","asme","ASME Graduate Student Scholarships","American Society of Mechanical Engineers","Engineering","https://www.asme.org/asme-programs/students-and-faculty/scholarships/asme-scholarships-how-to-apply","Varies","2026-03-02","online","monitor_next_cycle","39","unknown","membership","Graduate engineering scholarships primarily for mechanical engineering or mechanical engineering technology students.","ASME account, universal application, transcript, recommendations.","Engineering-related but not direct unless program qualifies|Professional society opportunity","2026 deadline passed|Mechanical engineering fit may be weak","Monitor for 2027 cycle only if Engineering Management is accepted as related."
"37","doe-csgf","DOE Computational Science Graduate Fellowship","U.S. Department of Energy","Federal STEM Fellowship","https://www.krellinst.org/csgf/","Full fellowship","annual_winter","online","prospect","38","unknown","citizenship","U.S. citizens or lawful permanent residents pursuing full-time PhD study in computational science fields.","Online application, essays, program of study, references, transcripts.","CS/data interest fit","Likely PhD-only and 2026 deadline passed|May not fit current master's path","Do not prioritize unless PhD plans are confirmed."
"38","nsf-grfp","NSF Graduate Research Fellowship Program","National Science Foundation","Federal STEM Fellowship","https://www.nsfgrfp.org/","Fellowship","annual_fall","online","prospect","36","unknown","citizenship","Early graduate students in eligible research-based STEM graduate programs; eligibility changes must be verified.","Research statement, personal statement, transcripts, recommendations.","CS/STEM profile and resilience story","May be ineligible if already holding/finishing a graduate degree|Research-based degree requirement","Do not apply until degree timeline is reconciled against NSF eligibility."
"39","lagrant-grad","The LAGRANT Foundation Graduate Scholarship","The LAGRANT Foundation","Communications / Diversity","https://www.lagrantfoundation.org/scholarship-application-process","$3,750 typical graduate award","2026-02-27","online","monitor_next_cycle","36","unknown","race_ethnicity","Graduate/PhD students from underrepresented backgrounds in advertising, marketing, or public relations with GPA and full-time requirements.","Application, transcript, essay, personal statement, recommendation, resume.","SUNO Observer/editorial experience|Creative technologist and public-facing portfolio|Diversity-oriented scholarship may fit after confirmation","2026 deadline passed|Major must emphasize PR, marketing, or advertising","Monitor 2027 only if program/field emphasis can be justified."
"40","ndseg","NDSEG Fellowship","Department of Defense","Federal STEM Fellowship","https://ndseg.sysplus.com/","Full fellowship","annual_fall","online","prospect","34","unknown","citizenship","U.S. citizens/nationals pursuing doctoral degrees in supported science and engineering disciplines.","Online application, research statement, transcript, recommendations.","STEM/CS interest fit","Doctoral focus; current master's path likely not eligible","Exclude unless doctoral study is planned."
"41","college-board-bigfuture","College Board BigFuture Scholarship Search","College Board BigFuture","Search Source","https://bigfuture.collegeboard.org/scholarship-search","Varies","varies","search","prospect","33","not_applicable","","Scholarship search tool; individual awards vary.","Use to discover official sponsor pages.","Useful for checking deadlines and degree-level filters","Some listed opportunities may be undergrad only","Use only as lead source; verify on official sponsor site."
"42","fastweb-source","Fastweb Scholarship Search","Fastweb","Search Source","https://www.fastweb.com/college-scholarships","Varies","varies","search","prospect","30","not_applicable","","Scholarship database; not itself a scholarship.","Use only to discover official sponsor pages.","Can discover additional graduate scholarships","Must verify every result on official sponsor site|Do not apply through sketchy redirects","Use as secondary search source after official/internal sources."
"43","point-foundation","Point Foundation Scholarships","Point Foundation","Identity / Leadership","https://pointfoundation.org/scholarships/","Varies","annual","online","prospect","26","unknown","lgbtq","LGBTQ+ students pursuing higher education; scholarship type varies.","Online application, essays, transcript, recommendations.","Leadership and resilience may fit only if identity is confirmed","Sensitive identity not provided; do not apply without explicit user confirmation","Exclude unless Kieron explicitly confirms eligibility."
"44","aaae","AAa/e Foundation Scholarship","Asian American Architects/Engineers Association Foundation","Architecture / Engineering / Construction","https://aaae.ngo/scholarship/apply-scholarship/","Varies","2026-05-31","online","monitor_next_cycle","25","unknown","race_ethnicity_possible","Full-time U.S. school students working toward architecture, engineering, planning, construction, or related professions; mandatory ceremony/video participation if awarded.","Resume, personal statement, sample work/project, transcript, recommendation.","Engineering adjacency|Portfolio/project evidence","Deadline just passed|Field fit and identity/association context may be weak","Monitor next cycle only if construction/engineering project focus is relevant."
"45","scholarships-com","Scholarships.com Search","Scholarships.com","Search Source","https://www.scholarships.com/","Varies","varies","search","prospect","23","not_applicable","platform_profile","Scholarship search platform; individual awards vary.","Use to discover official sponsor pages, not as final source of truth.","Can help expand prospect pool","Avoid spammy offers, fees, and excessive data collection","Use after official sources and CareerOneStop."
"46","google-lime","Google Lime Scholarship","Lime Connect and Google","Computer Science / Disability","https://www.limeconnect.com/programs/page/google-lime-scholarship","Varies","annual","online","prospect","22","unknown","disability","Computer science or related students with disabilities who meet academic and enrollment criteria.","Online application, resume, transcript, essays.","CS fit only; disability eligibility not provided","Sensitive eligibility not provided; do not apply without explicit confirmation","Exclude unless Kieron explicitly confirms eligibility."
"47","shpe","SHPE Scholarships","Society of Hispanic Professional Engineers","STEM / Identity","https://shpe.org/scholarships/","Varies","annual","online","prospect","21","unknown","race_ethnicity|membership","Students pursuing STEM degrees who meet SHPE and award-specific requirements.","Online application, transcript, resume, essays.","STEM fit only; identity/membership not confirmed","Sensitive identity not provided|Likely not eligible unless confirmed","Exclude unless eligibility is explicitly confirmed."
"48","aises","AISES Scholarships","American Indian Science and Engineering Society","STEM / Identity","https://www.aises.org/students/scholarships","Varies","annual","online","prospect","16","unknown","race_ethnicity|tribal_affiliation","Indigenous students in STEM who meet tribal/community documentation and award-specific rules.","Online application, transcript, tribal/community documentation, essays.","STEM fit only; identity not confirmed","Sensitive eligibility not provided; do not apply","Exclude unless eligibility is explicitly confirmed."
"49","bafta-us","BAFTA US Scholarships","BAFTA North America","Film / Graduate","https://www.bafta.org/programmes/us-scholarships/","Varies","2026-06-26","online","not_eligible","0","unknown","financial_need_possible","Graduate students studying filmmaking or related degree at New York or appropriate institute for named scholarships.","Online application, creative work, financial and program information.","Film portfolio fit","Current degree is not filmmaking and location/program likely not eligible","Do not apply unless enrolled in an eligible film-related graduate program."
"50","berkeley-film-foundation","Berkeley Film Foundation Student Grants","Berkeley Film Foundation","Film / Student Grant","https://berkeleyfilmfoundation.org/student-grants","Up to $5,000","2026-04-13","online","not_eligible","0","unknown","","Full-time film-program students with required clip/trailer and community screening obligations.","Submittable application, clip/trailer up to 10 minutes, project details.","Filmmaking fit","Deadline passed and requires full-time film program|Not a fit for CS/Engineering Management unless film program enrollment exists","Do not apply under current profile."
